,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
238,nikolskoye,59.7,30.79,35.51,93.0,90.0,8.95,RU
239,gainesville,29.65,-82.32,75.87,83.0,20.0,6.93,US
240,alepe,5.5,-3.66,84.2,83.0,20.0,10.29,CI
241,richards bay,-28.78,32.04,72.46,79.0,40.0,8.46,ZA
242,grand gaube,-20.01,57.66,75.74,83.0,40.0,11.41,MU
243,fairbanks,64.84,-147.72,42.15,100.0,90.0,2.01,US
244,saldanha,-33.01,17.94,64.4,55.0,96.0,8.05,ZA
245,najran,17.49,44.13,75.2,57.0,40.0,4.7,SA
246,marrakesh,31.63,-8.01,59.0,82.0,75.0,5.82,MA
247,tamiahua,21.27,-97.45,81.68,85.0,50.0,8.79,MX
248,broken hill,-31.95,141.43,59.0,62.0,6.0,4.7,AU
249,sechura,-5.56,-80.82,75.92,69.0,0.0,14.52,PE
250,bekessamson,46.42,20.63,53.01,40.0,65.0,2.59,HU
252,laguna,38.42,-121.42,67.44,45.0,1.0,13.87,US
253,kavieng,-2.57,150.8,82.99,74.0,93.0,4.9,PG
254,hervey bay,-25.3,152.85,75.97,94.0,40.0,9.17,AU
255,sakakah,29.97,40.21,66.2,45.0,56.0,8.05,SA
256,sept-iles,50.2,-66.38,31.14,80.0,75.0,10.29,CA
257,colac,-38.33,143.58,50.02,97.0,77.0,1.01,AU
258,luderitz,-26.65,15.16,59.0,93.0,4.0,9.17,NA
259,inirida,3.87,-67.92,74.12,95.0,100.0,0.96,CO
260,iralaya,15.0,-83.23,79.99,77.0,0.0,8.72,HN
261,mizan teferi,6.98,35.58,64.31,49.0,94.0,2.95,ET
262,tecoanapa,16.52,-98.75,84.18,66.0,45.0,8.32,MX
263,cam ranh,11.92,109.16,82.4,83.0,20.0,1.12,VN
264,sungairaya,0.7,108.9,77.36,82.0,100.0,4.21,ID
265,monte santo,-10.44,-39.33,72.1,79.0,98.0,6.8,BR
266,coahuayana,18.73,-103.68,86.0,45.0,20.0,11.41,MX
267,villena,38.64,-0.87,56.08,89.0,100.0,4.0,ES
268,haines junction,60.75,-137.51,50.52,39.0,6.0,1.19,CA
269,semme,46.2,1.5,56.25,87.0,100.0,9.17,FR
271,kilindoni,-7.91,39.67,81.81,79.0,99.0,15.88,TZ
272,nuuk,64.18,-51.72,28.4,54.0,97.0,17.22,GL
273,tuatapere,-46.13,167.68,55.99,68.0,47.0,10.0,NZ
274,mangan,27.52,88.53,64.42,36.0,96.0,3.4,IN
275,iqaluit,63.75,-68.51,3.09,71.0,20.0,6.93,CA
276,beberibe,-4.18,-38.13,78.8,88.0,40.0,2.24,BR
277,honningsvag,70.98,25.97,39.38,92.0,100.0,11.56,NO
278,lebedinyy,58.52,125.52,8.29,86.0,94.0,8.75,RU
279,tandil,-37.32,-59.13,64.0,66.0,0.0,1.99,AR
280,mar del plata,-38.0,-57.56,66.09,68.0,24.0,6.93,AR
281,muros,42.78,-9.06,47.37,93.0,16.0,1.41,ES
282,honiara,-9.43,159.95,86.0,74.0,40.0,3.36,SB
283,bilma,18.69,12.92,82.65,13.0,10.0,6.73,NE
284,batemans bay,-35.72,150.18,59.36,77.0,82.0,0.87,AU
285,coquimbo,-29.95,-71.34,59.0,93.0,90.0,9.17,CL
286,ossora,59.24,163.07,21.97,89.0,10.0,4.0,RU
287,gamba,-2.65,10.0,78.94,84.0,99.0,2.15,GA
288,camacha,33.08,-16.33,61.32,72.0,20.0,10.29,PT
289,guilin,25.28,110.29,69.8,94.0,75.0,6.71,CN
290,palmer,42.16,-72.33,39.11,75.0,90.0,4.7,US
291,el alto,-4.27,-81.21,73.49,73.0,21.0,7.78,PE
292,krivosheino,57.34,83.93,37.58,83.0,43.0,8.01,RU
293,mana,5.66,-53.78,78.55,87.0,80.0,7.87,GF
294,leningradskiy,69.38,178.42,5.61,88.0,4.0,8.75,RU
295,cartagena,10.4,-75.51,84.2,74.0,40.0,14.99,CO
296,palu,-0.89,119.87,83.07,66.0,87.0,2.21,ID
297,moyo,3.66,31.72,66.27,76.0,100.0,4.68,UG
298,chhatarpur,24.9,79.6,83.97,28.0,71.0,7.4,IN
299,newport,51.59,-3.0,47.95,97.0,70.0,9.82,GB
301,chapais,49.78,-74.85,39.2,38.0,75.0,8.05,CA
302,karratha,-20.74,116.85,84.7,49.0,89.0,7.85,AU
303,minervino murge,41.08,16.08,60.33,67.0,76.0,4.7,IT
304,hamilton,39.18,-84.53,51.94,40.0,1.0,9.17,US
305,novikovo,51.15,37.89,36.16,77.0,12.0,5.82,RU
306,uray,60.12,64.78,35.33,85.0,30.0,10.76,RU
307,namibe,-15.2,12.15,74.98,69.0,70.0,5.79,AO
308,aswan,24.09,32.91,71.6,26.0,3.0,20.8,EG
309,sur,22.57,59.53,81.27,55.0,19.0,8.14,OM
311,caravelas,-17.71,-39.25,76.51,78.0,93.0,17.25,BR
312,broome,42.25,-75.83,38.17,59.0,75.0,6.93,US
313,charlottetown,46.24,-63.13,33.73,59.0,75.0,10.29,CA
314,whitehorse,60.72,-135.05,59.0,26.0,20.0,2.24,CA
315,warmbad,-28.45,18.73,66.83,22.0,13.0,6.15,NA
317,katsuura,35.13,140.3,62.01,57.0,5.0,20.02,JP
318,san joaquin,10.26,-67.79,75.38,70.0,56.0,5.46,VE
319,illapel,-31.63,-71.17,63.43,51.0,10.0,3.09,CL
320,sistranda,63.73,8.83,42.06,93.0,75.0,5.82,NO
321,santa isabel do rio negro,-0.41,-65.02,74.57,93.0,66.0,1.36,BR
322,lata,40.16,-8.33,54.99,92.0,23.0,1.01,PT
323,marienburg,54.04,19.03,30.67,100.0,0.0,5.14,PL
324,meiganga,6.52,14.3,69.78,63.0,68.0,2.3,CM
325,vardo,70.37,31.11,36.64,81.0,90.0,18.32,NO
326,yining,29.04,114.56,61.25,85.0,100.0,4.07,CN
327,hovd,48.01,91.64,34.7,40.0,1.0,3.38,MN
328,hasaki,35.73,140.83,62.29,51.0,20.0,8.05,JP
329,carahue,-38.7,-73.17,60.8,82.0,72.0,4.7,CL
330,omaruru,-21.43,15.93,67.82,35.0,58.0,3.69,NA
331,sola,-13.88,167.55,83.26,77.0,67.0,11.14,VU
332,wana,32.3,69.57,55.54,36.0,0.0,2.73,PK
333,thyolo,-16.07,35.14,63.37,78.0,58.0,6.17,MW
334,amapa,1.0,-52.0,73.38,92.0,64.0,2.19,BR
